Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Syriza Textile,http://yayvo.com/off-white-unstitched-3-pcs-chikan-lawn-suit.html,Sea Green Unstitched 3-Pcs Chikan Lawn Suit,"Rs.2,950","Rs.3,250",9%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/e/fed23614f514a2352b8f27f3f7c441a8_1.jpg
Itsay,http://yayvo.com/silver-micro-pave-cubic-zirconia-metal-ring-ua786178pk.html,Silver Micro Pave Cubic Zirconia Metal Ring-UA786178PK,Rs.927,"Rs.1,278",27%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/4/a42756fc97b25103c746119bf0f5dcb3_10.jpg
Regal Outfit,http://yayvo.com/pack-of-four-cotton-printed-t-shirts-deal-for-her-4.html,Pack of Four Cotton Printed T-Shirts Deal for Her,Rs.999,"Rs.1,600",38%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/6/d67616160be6fcf9e71e6afc62fbf596_1.jpeg
Karachi Kings,http://yayvo.com/blue-official-t-shirt-kk-001.html,Original Karachi Kings 2018 Team Jersey - KK-001,Rs.199,Rs.499,60%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/1/f16e243604e76b8a800d5a3a96833703_30.jpg
tomi,http://yayvo.com/tomi-t071-black-green-silver-stylish-quartz-watch-for-man-woman.html,"TOMI T071 Black, Green & Silver Stylish Quartz Watch For Man & Woman","Rs.1,800","Rs.3,600",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/2/c/2c8ba875566054f03b7e362ec6c7b15b_2.jpg
Regal Outfit,http://yayvo.com/pakistan-14th-august-printed-t-shirt-for-boys.html,Pakistan 14th August Printed t-Shirt for Boys,Rs.350,Rs.600,42%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/6/d6baaea8689baa179f557fdba6b78363_5.jpeg
Karachi Kings,http://yayvo.com/blue-round-neck-plain-shirt-kk-007.html,Blue Round Neck 2018 Plain Shirt-KK-007,Rs.99,Rs.199,50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/1/c16f75c1cb3671b7f3008fbde6924c9d_12.jpg
Naviforce,http://yayvo.com/naviforce-nf9128-black-brown-alloy-and-leather-quartz-watch-for-man.html,NAVIFORCE NF9128 Black & Brown Alloy and Leather Quartz Watch For Man,"Rs.3,250","Rs.4,645",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/a/7ac6933b3837a00f5380ef39b26a02e7_1.JPG
Karachi Kings,http://yayvo.com/red-cotton-round-neck-t-shirt-kk-004.html,Red Cotton 2018 Round Neck T-shirt-KK-004,Rs.106,Rs.250,58%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/1/a17b6ba4bfbcd1ee52eb3fca124caee2_6.jpg
Fit Right,http://yayvo.com/pack-of-two-printed-pakistani-t-shirts.html,Pack Of Two Printed Pakistani T.Shirts,Rs.999,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/c/7c37354ee718b15d21a437027bfa3dc5_6.jpg
